1a,1b,1c,1d,1f
2a,2b,2c,2d,2f
3a,3b,3c,3d,3f
4a,4b,4c,4d,4f
5a,5b,5c,5d,5f
6a,6b,6c,6d,6f
7a,7b,7c,7d,7f
8a,8b,8c,8d,8f
9a,9b,9c,9d,9f
10a,10b,10c,10d,10f
11a,11b,11c,11d,11f
12a,12b,12c,12d,12f
13a,13b,13c,13d,13f
14a,14b,14c,14d,14f
15a,15b,15c,15d,15f
16a,16b,16c,16d,16f
17a,17b,17c,17d,17f
18a,18b,18c,18d,18f
19a,19b,19c,19d,19f
20a,20b,20c,20d,20f
21a,21b,21c,21d,21f
22a,22b,22c,22d,22f
23a,23b,23c,23d,23f
24a,24b,24c,24d,24f
25a,25b,25c,25d,25f
26a,26b,26c,26d,26f
27a,27b,27c,27d,27f
28a,28b,28c,28d,28f
29a,29b,29c,29d,29f
30a,30b,30c,30d,30f
31a,31b,31c,31d,31f
32a,32b,32c,32d,32f
33a,33b,33c,33d,33f
34a,34b,34c,34d,34f
35a,35b,35c,35d,35f
36a,36b,36c,36d,36f
37a,37b,37c,37d,37f
38a,38b,38c,38d,38f
39a,39b,39c,39d,39f
40a,40b,40c,40d,40f
41a,41b,41c,41d,41f
42a,42b,42c,42d,42f
43a,43b,43c,43d,43f
44a,44b,44c,44d,44f
45a,45b,45c,45d,45f
46a,46b,46c,46d,46f
47a,47b,47c,47d,47f
48a,48b,48c,48d,48f
49a,49b,49c,49d,49f
50a,50b,50c,50d,50f
51a,51b,51c,51d,51f
52a,52b,52c,52d,52f
53a,53b,53c,53d,53f
54a,54b,54c,54d,54f
55a,55b,55c,55d,55f
56a,56b,56c,56d,56f
57a,57b,57c,57d,57f
58a,58b,58c,58d,58f
59a,59b,59c,59d,59f
60a,60b,60c,60d,60f
61a,61b,61c,61d,61f
62a,62b,62c,62d,62f
63a,63b,63c,63d,63f
64a,64b,64c,64d,64f
65a,65b,65c,65d,65f
66a,66b,66c,66d,66f
67a,67b,67c,67d,67f
68a,68b,68c,68d,68f
69a,69b,69c,69d,69f
70a,70b,70c,70d,70f
71a,71b,71c,71d,71f
72a,72b,72c,72d,72f
73a,73b,73c,73d,73f
74a,74b,74c,74d,74f
75a,75b,75c,75d,75f
76a,76b,76c,76d,76f
77a,77b,77c,77d,77f
78a,78b,78c,78d,78f
79a,79b,79c,79d,79f
80a,80b,80c,80d,80f
81a,81b,81c,81d,81f
82a,82b,82c,82d,82f
83a,83b,83c,83d,83f
84a,84b,84c,84d,84f
85a,85b,85c,85d,85f
86a,86b,86c,86d,86f
87a,87b,87c,87d,87f
88a,88b,88c,88d,88f
89a,89b,89c,89d,89f
90a,90b,90c,90d,90f
91a,91b,91c,91d,91f
92a,92b,92c,92d,92f
93a,93b,93c,93d,93f
94a,94b,94c,94d,94f
95a,95b,95c,95d,95f
96a,96b,96c,96d,96f
97a,97b,97c,97d,97f
98a,98b,98c,98d,98f
99a,99b,99c,99d,99f
100a,100b,100c,100d,100f
